l,dl
"5600,33063784831","0,067987614915981"
"5626,5440140921","0,163013530637831"
"5654,06928800164","0,104124380049054"
"5682,9359453943","0,130601096399817"
"5712,43836926225","0,100237175681672"
"5743,56041783453","0,225545721214656"
"5778,93301277582","0,381615174191394"
"5811,60888101261","0,189878578631245"
"5846,16216905151","0,118615066725912"
"5881,63504836711","0,217924774935241"
"5920,37267663769","0,183047999482923"
"5960,22827688323","0,312356493932458"
"5997,58889157046","0,176868141193483"
"6039,07583046594","0,346015087632635"
"6082,62182892829","0,269306927500901"
"6125,55715402255","0,228103667163438"
"6174,70443753443","1,74899671869194"
"6221,36060934741","0,402881432834914"
"6262,38962261082","3,16922154961703"
"6173,53261178025","0,783576162256913"
"6173,53261178025","0,783576162256913"
"6173,11589820374","0,284368696786644"
"6217,7766425793","0,423683503275488"
"6268,99469774477","0,42584049288061"
